"timestamp","container","test_type","model","run","final verdict","turns_taken","rv_traces_used","feedback_used","verdict_pre_feedback","feedback_category","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-03T01:12:17+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 1","PASSED","1","yes","","","","10656","2020","12676","34.3"
"2026-05-03T01:12:17+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 2","PASSED","2","yes","","","","23497","3140","26637","49.8"
"2026-05-03T01:12:17+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 1","PASSED","2","yes","","","","15718","974","16692","10.0"
"2026-05-03T01:12:17+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 2","PASSED","2","yes","","","","17648","963","18611","13.4"
"2026-05-03T01:29:38+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 1","PASSED","1","no","","","","6512","2428","8940","31.7"
"2026-05-03T01:29:38+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","claude","run 2","PASSED","1","no","","","","6512","2005","8517","28.2"
"2026-05-03T01:29:38+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 1","FAILED","2","no","","","","11519","1016","12535","13.3"
"2026-05-03T01:29:38+00:00","shardingsphereelasticjobelasticjoblitecore23a2ab6","od","openai","run 2","PASSED","2","no","","","","11267","760","12027","9.5"
"2026-05-03T01:44:38+00:00","jnrposixd9f3f84","od","claude","run 1","PASSED","1","yes","","","","9996","2133","12129","28.9"
"2026-05-03T01:44:38+00:00","jnrposixd9f3f84","od","claude","run 2","PASSED","1","yes","","","","10257","5996","16253","66.3"
"2026-05-03T01:44:38+00:00","jnrposixd9f3f84","od","openai","run 1","PASSED","2","yes","","","","17363","997","18360","8.1"
"2026-05-03T01:44:38+00:00","jnrposixd9f3f84","od","openai","run 2","FAILED","2","yes","","","","16436","1169","17605","11.4"
"2026-05-03T01:51:09+00:00","jnrposixd9f3f84","od","claude","run 1","PASSED","1","no","","","","6430","1433","7863","24.0"
"2026-05-03T01:51:09+00:00","jnrposixd9f3f84","od","claude","run 2","PASSED","1","no","","","","6428","2133","8561","33.2"
"2026-05-03T01:51:09+00:00","jnrposixd9f3f84","od","openai","run 1","FAILED","2","no","","","","11366","1060","12426","8.7"
"2026-05-03T01:51:09+00:00","jnrposixd9f3f84","od","openai","run 2","FAILED","2","no","","","","11429","963","12392","7.9"
"2026-05-03T02:07:32+00:00","feignmock17735a3shouldPrintHeaders","id","claude","run 1","FAILED","1","yes","","","","5973","905","6878","15.9"
"2026-05-03T02:07:32+00:00","feignmock17735a3shouldPrintHeaders","id","claude","run 2","FAILED","2","yes","","","","13267","1380","14647","25.9"
"2026-05-03T02:07:32+00:00","feignmock17735a3shouldPrintHeaders","id","openai","run 1","FAILED","2","yes","","","","10536","654","11190","5.4"
"2026-05-03T02:07:32+00:00","feignmock17735a3shouldPrintHeaders","id","openai","run 2","FAILED","2","yes","","","","10528","844","11372","5.1"
"2026-05-03T02:29:23+00:00","elasticjob294","nio","claude","run 1","PASSED","2","yes","","","","18732","4701","23433","58.9"
"2026-05-03T02:29:23+00:00","elasticjob294","nio","claude","run 2","PASSED","2","yes","","","","18826","3579","22405","50.1"
"2026-05-03T02:29:23+00:00","elasticjob294","nio","openai","run 1","FAILED","2","yes","","","","14815","1134","15949","9.2"
"2026-05-03T02:29:23+00:00","elasticjob294","nio","openai","run 2","FAILED","2","yes","","","","14795","1081","15876","8.5"
"2026-05-03T02:40:03+00:00","elasticjob294","nio","claude","run 1","FAILED","2","no","","","","13552","3885","17437","61.8"
"2026-05-03T02:40:03+00:00","elasticjob294","nio","claude","run 2","FAILED","1","no","","","","5747","2193","7940","28.3"
"2026-05-03T02:40:03+00:00","elasticjob294","nio","openai","run 1","FAILED","2","no","","","","10276","1005","11281","7.4"
"2026-05-03T02:40:03+00:00","elasticjob294","nio","openai","run 2","FAILED","2","no","","","","10276","1037","11313","7.6"
"2026-05-03T03:00:14+00:00","quickcheck9a0","nio","claude","run 1","PASSED","1","yes","","","","8645","1117","9762","18.1"
"2026-05-03T03:00:14+00:00","quickcheck9a0","nio","claude","run 2","PASSED","1","yes","","","","8645","1089","9734","15.0"
"2026-05-03T03:00:14+00:00","quickcheck9a0","nio","openai","run 1","PASSED","2","yes","","","","14552","840","15392","8.1"
"2026-05-03T03:00:14+00:00","quickcheck9a0","nio","openai","run 2","PASSED","2","yes","","","","14598","836","15434","8.7"
"2026-05-03T03:12:14+00:00","quickcheck9a0","nio","claude","run 1","PASSED","1","no","","","","7623","1818","9441","24.9"
"2026-05-03T03:12:14+00:00","quickcheck9a0","nio","claude","run 2","PASSED","1","no","","","","7623","1485","9108","17.8"
